Z05_RES	NAME	PLUGER	PLUITA	PLURUM	PLU2GI	PLU2GR	PLU3M	PFOBL	PFPROF	PFMAT	PFMAS	PFPRSS	ADFO	ADPO79	ADPO57	ADPO05	ADUNE	NADHO	ADSDIR	ADSLIB	ADSIND	ADSMGKN	ADSINT	ADSEMPL	ADSWORK	ADSNQ
3505	Albula-Sursés	2549	93	782	59	754	141	1126	1908	342	182	96	2052	192	307	472	47	193	18	65	315	268	602	688	417	354
3506	Lenzerheide	2759	60	40	56	249	104	724	1583	309	227	170	1877	147	217	329	66	171	15	31	128	253	708	517	393	371
3561	Bernina-Bregaglia	453	4039	37	520	8	145	1244	2241	393	147	120	2323	141	238	473	110	501	58	8	288	177	618	575	692	255
3574	Ilanz	1350	23	921	25	715	92	844	1406	254	193	55	1630	246	246	373	47	177	8	24	102	374	537	534	365	348
3599	Lumnezia-Safiental	1989	0	1217	16	583	64	1057	1551	328	66	41	1936	108	190	308	29	185	8	15	299	148	534	452	451	304
3638	Domleschg-Heizenberg	4422	12	140	72	169	51	881	2413	448	167	159	2432	307	319	436	74	199	30	24	355	235	822	812	545	242
3668	Thusis-Viamala	3584	92	112	94	293	161	1269	2110	372	89	78	2303	135	253	467	139	303	0	34	254	173	635	593	619	554
3721	Bonaduz-Rhäzüns	3485	49	93	71	257	58	729	1909	328	230	164	1940	201	289	423	62	227	8	14	128	258	899	643	365	315
3722	Domat/Ems	3806	220	233	221	582	165	1072	2809	407	188	234	2908	234	290	558	176	336	42	15	147	259	1151	1069	588	481
3732	Flims-Laax	3205	40	600	30	575	83	981	2289	402	216	169	2605	254	246	355	70	310	39	51	215	340	820	741	550	352
3746	Zernez-Müstair	1513	244	1265	81	1033	256	904	1781	665	269	168	2292	215	184	333	35	309	46	76	299	261	674	596	459	339
3762	Engiadina Bassa	2015	69	1694	9	945	343	1196	2157	534	285	192	2802	218	366	431	62	210	7	55	229	255	953	668	702	508
3786	Samedan-Pontresina	3067	544	427	215	472	242	988	2265	567	230	148	3077	319	321	466	52	157	79	96	219	246	1208	955	527	554
3787	St.Moritz-Sils	3243	855	153	369	242	374	1303	2525	586	474	183	3664	218	254	413	99	203	60	131	223	392	1196	882	500	798
3822	Moësa	313	5205	0	313	16	169	1720	2226	575	238	133	2759	203	302	443	207	567	80	41	183	244	661	785	673	622
3851.1	Davos Dorf	3539	74	24	57	71	92	826	1995	367	313	99	2466	233	180	314	37	213	56	32	181	380	792	726	334	455
3851.2	Davos Platz	4091	38	16	101	55	117	864	2151	501	271	178	2678	317	289	458	61	90	31	25	248	459	1018	887	498	363
3871	Klosters-Oberprättigau	5267	46	16	54	39	107	1193	2627	483	334	120	2852	225	245	544	67	333	10	81	386	254	902	748	641	285
3901.1	Chur Stadt-Sand	3168	118	65	92	174	167	685	1575	469	378	233	2143	252	279	312	208	144	15	117	189	454	800	659	235	361
3901.3	Chur Kasernen-Industrie	3236	142	90	152	170	88	964	1953	295	274	113	2601	285	263	303	167	151	16	15	80	391	1003	838	476	423
3901.5	Chur Loestrasse-Masans	5070	72	106	157	251	96	817	2251	681	620	292	2570	404	453	779	98	249	47	125	205	753	1206	933	407	255
3901.7	Chur Rheinquartier I	2991	109	55	80	151	112	594	1355	368	351	147	1782	227	239	242	78	143	16	51	106	514	567	573	336	204
3901.81	Chur Rheinquartier II Au	2566	130	132	138	237	121	1098	1853	210	149	95	1733	197	161	293	62	203	25	7	40	133	574	524	424	535
3901.82	Chur Rheinquartier II Rheinmühle	3447	102	132	189	228	91	813	2141	388	106	120	1844	262	255	360	149	262	10	52	93	224	700	720	452	288
3921	Schanfigg	3105	33	23	23	48	92	651	1816	260	109	105	1945	132	201	322	66	144	45	40	255	116	672	589	418	238
3942	Igis	4682	126	64	132	199	64	1264	2695	585	206	132	2833	283	508	519	182	440	32	26	133	359	1070	871	881	472
3946	Calanda	4643	65	57	119	123	71	919	2521	360	208	115	2463	242	399	542	88	341	32	24	152	317	926	833	695	301
3947	Zizers-Trimmis	4411	100	38	77	117	40	872	2227	360	245	191	2492	225	307	434	94	259	31	39	209	316	866	954	520	232
3953	Herrschaft	4962	22	33	24	108	72	780	2147	555	425	267	2722	323	295	555	55	332	78	98	340	628	930	748	519	209
3962	Unterprättigau	5345	33	15	38	47	52	1083	2876	411	233	95	2664	303	330	578	110	437	23	8	317	340	863	687	913	365
3982	Surselva-Lucmagn	781	30	2286	18	947	106	1304	1726	387	123	42	2129	149	176	343	101	223	8	15	213	162	513	536	599	466
3987	Trun-Obersaxen	1133	23	1764	0	685	84	903	1687	251	117	49	1640	160	238	259	34	131	0	27	230	130	487	553	408	234
